Locality,Cluster Full Name,Cluster Name,Region,Subregion,Grouping,Milestone,Reservoir,Associated
Hawthorne,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Hayward,CA-NC 03 Alameda County South (Fremont),Alameda County South (Fremont),CA,NC,East Bay,M2,,
Healdsburg,CA-NC 14 Sonoma County,Sonoma County,CA,NC,East Bay,M2,,
Hemet,CA-SE 07 Temecula,Temecula,CA,SE,San Diego,M2,,
Hercules,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Hermosa Beach,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Hesperia,CA-SW 05 Victorville,Victorville,CA,SW,San Gabriel Valley,M2,,
Hidden Hills,CA-SW 17 Thousand Oaks,Thousand Oaks,CA,SW,Los Angeles,M3,,
Highland,CA-SW 04 San Bernardino,San Bernardino,CA,SW,San Gabriel Valley,M2,,
Hillsborough,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Hollister,CA-NC 10 Campos de Alianza,Campos de Alianza,CA,NC,Santa Clara County West,M2,,
Holtville,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
Hoopa Valley Reservation,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Hopland Rancheria,CA-NC 22 Mendocino County,Mendocino County,CA,NC,East Bay,M2,,
Hughson,CA-NI 07 Stanislaus County,Stanislaus County,CA,NI,Fresno,M2,,
Humboldt County Central,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Humboldt County North,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Humboldt County South,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Huntington Beach,CA-SE 16 Orange County Central,Orange County Central,CA,SE,San Diego,M3,,
Huntington Park,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Huron,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Imperial,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
Imperial Beach,CA-SE 18 San Diego,San Diego,CA,SE,San Diego,M3,Reservoir,Associated
Imperial County,CA-SE 10 El Centro,El Centro,CA,SE,San Diego,M1,,
Inaja and Cosmit Reservation,CA-SE 14 East San Diego County,East San Diego County,CA,SE,San Diego,M2,,
Indian Wells,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Indio,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Industry,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Inglewood,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Inyo County,CA-NI 03 Inyo County,Inyo County,CA,NI,Fresno,M1,,
Ione,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Irvine,CA-SE 16 Orange County Central,Orange County Central,CA,SE,San Diego,M3,,
Irwindale,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Isleton,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Jackson,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Jackson Rancheria,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Jurupa Valley,CA-SE 06 Riverside,Riverside,CA,SE,San Diego,M2,,
Karuk Reservation,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Kerman,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
